icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
KDKK,Chautauqua County/Dunkirk,Dunkirk,NY,US,42.4939444,-79.2711111,America/New_York,EAST
KDKR,Houston County,Crockett,TX,US,31.3069722,-95.4038333,America/Chicago,WEST
KDKX,Knoxville Downtown Island,Knoxville,TN,US,35.9638333,-83.8736667,America/New_York,EAST
KDLC,Dillon County,Dillon,SC,US,34.4490556,-79.3685833,America/New_York,EAST
KDLH,Duluth Intl,Duluth,MN,US,46.8420698,-92.1932372,America/Chicago,EAST
KDLL,Baraboo/Wisconsin Dells Rgnl,Baraboo,WI,US,43.5220278,-89.77125,America/Chicago,EAST
KDLN,Dillon,Dillon,MT,US,45.2553611,-112.5525,America/Denver,WEST
KDLO,Delano Muni,Delano,CA,US,35.7455556,-119.2365,America/Los_Angeles,WEST
KDLS,Columbia Gorge Rgnl,The Dalles,OR,US,45.6193552,-121.1682757,America/Los_Angeles,WEST
KDLZ,Delaware Muni/Jim Moore Fld,Delaware,OH,US,40.2795421,-83.1133836,America/New_York,EAST
KDMN,Deming Muni,Deming,NM,US,32.2623889,-107.719,America/Denver,WEST
KDMO,Sedalia Rgnl,Sedalia,MO,US,38.7074167,-93.1759167,America/Chicago,WEST
KDMW,Carroll Co Rgnl,Westminster,MD,US,39.6082778,-77.0076667,America/New_York,EAST
KDNL,Daniel Fld,Augusta,GA,US,33.4665833,-82.0393889,America/New_York,EAST
KDNN,Dalton Muni,Dalton,GA,US,34.7229389,-84.8702414,America/New_York,EAST
KDNS,Denison Muni,Denison,IA,US,41.9861991,-95.3799075,America/Chicago,WEST
KDNV,Vermilion Rgnl,Danville,IL,US,40.1998272,-87.5951664,America/Chicago,EAST
KDOV,Dover Air Force Base,Dover,DE,US,39.1295389,-75.4659611,America/New_York,EAST
KDPA,Dupage,Chicago/West Chicago,IL,US,41.9070531,-88.247995,America/Chicago,EAST
KDPL,Duplin County,Kenansville,NC,US,35.0000364,-77.9816583,America/New_York,EAST
KDQH,Douglas Muni,Douglas,GA,US,31.4767386,-82.8605669,America/New_York,EAST
KDRI,Beauregard Rgnl,De Ridder,LA,US,30.8317228,-93.3399156,America/Chicago,WEST
KDRM,Drummond Island,Drummond Island,MI,US,46.0093114,-83.7439342,America/Detroit,EAST
KDRO,Durango-La Plata County,Durango,CO,US,37.1515278,-107.7537778,America/Denver,WEST
KDRP,Delta Rgnl,Colt,AR,US,35.1200522,-90.8265014,America/Chicago,WEST
KDRT,Del Rio Intl,Del Rio,TX,US,29.3742069,-100.9271569,America/Chicago,WEST
KDSM,Des Moines Intl,Des Moines,IA,US,41.5339728,-93.6630722,America/Chicago,WEST
KDSV,Dansville Muni,Dansville,NY,US,42.5705314,-77.7132728,America/New_York,EAST
KDTA,Delta Muni,Delta,UT,US,39.383597,-112.502206,America/Denver,WEST
KDTG,Dwight,Dwight,IL,US,41.1326218,-88.4386453,America/Chicago,EAST
KDTL,Detroit Lakes,Detroit Lakes,MN,US,46.8230461,-95.8827858,America/Chicago,WEST
KDTN,Shreveport Downtown,Shreveport,LA,US,32.5408217,-93.7438353,America/Chicago,WEST
KDTO,Denton Enterprise,Denton,TX,US,33.2019606,-97.1990975,America/Chicago,WEST
KDTS,Destin Exec,Destin,FL,US,30.4000547,-86.4714722,America/Chicago,EAST
